geneID	patricID	transcriptID	function	bt_t04_A	bt_t04_B	bt_t04_C	bt_t12_A	bt_t12_B	bt_t12_C	bt_t36_A	bt_t36_B	bt_t36_C	btri_t12_btA	btri_t12_btB	btri_t12_btC	btri_t24_btA	btri_t24_btB	btri_t24_btC	btri_t36_btA	btri_t36_btB	btri_t36_btC
BT_0384	fig|226186.12.peg.383	AAO75491	hypothetical protein	148.705	228	200	88	81	79	0	7	19	49.869	53	83.352	81	7	18	14	112	30
BT_0385	fig|226186.12.peg.384	AAO75492	hypothetical protein	441.295	557	345	287	227	207	0	35	56	89.131	113	78.648	92	0	16	106	60	34
BT_0386	fig|226186.12.peg.385	AAO75493	hypothetical protein	589	666.152	605.749	466	321	420	58	74	92	435	275	276.746	101	0	21	79	85	23
BT_0387	fig|226186.12.peg.386	AAO75494	NADH dehydrogenase subunit 2	185.563	234.723	174.251	82	69	88	1	0	0	29.028	28.221	37.254	34	0	0	30	41	0
BT_0388	fig|226186.12.peg.387	AAO75495	galactoside O-acetyltransferase	247.302	280.137	249	71	34	32	0	12	0	193.992	156.629	155.024	46	37	8	22	0	44
BT_0389	fig|226186.12.peg.388	AAO75496	hypothetical protein	52.135	71.984	34	2	25.982	6	0	0	0	15.98	19.154	16.976	23.991	0	10	32	14	0
BT_0390	fig|226186.12.peg.389	AAO75497	O-antigen flippase Wzx	214	357.003	268	143	81.018	97	0	0	0	56	49	51	100.009	14	33	93	9	33
BT_0391	fig|226186.12.peg.390	AAO75498	putative protein involved in capsular polysaccharide biosynthesis	205	294	236	151	118	97	16	0	0	81	111	98.322	105	23	22	39	77	28
BT_0392	fig|226186.12.peg.391	AAO75499	hypothetical protein	273.399	349.441	314.481	243.997	214.504	207	23	17	23	155.87	227.008	150.671	52	34	7	26.976	2.376	32
BT_0393	fig|226186.12.peg.392	AAO75500	Serine acetyltransferase (EC 2.3.1.30)	146.601	193.559	118.075	56.003	87.496	46	0	0	0	60.529	95.992	67.662	20	14	0	11.024	17.624	0
BT_0394	fig|226186.12.peg.393	AAO75501	hypothetical protein	334	388	344.445	419	189	228	89	108	78	460.601	577	350.345	212	68	36	83	86	15
BT_0395		AAO75502		14	9	10	11	18	10	0	0	0	3	0	1	0	0	0	0	0	0
BT_0396	fig|226186.12.peg.394	AAO75503	hypothetical protein	144.493	164.123	119	82	110	67	13	24	14	82	65.988	86.043	141.302	58	22	62	22	14
BT_0397	fig|226186.12.peg.395	AAO75504	hypothetical protein	458.506	435.877	480.005	194	108	93	0	20	10	272	232.012	215.957	9.698	0	7	0	15	2
BT_0398	fig|226186.12.peg.396	AAO75505	Polysaccharide export outer membrane protein	152.001	201	205	83	70	77	18	17	0	86	88	109.216	39	41	40	4	15	0
BT_0399	fig|226186.12.peg.397	AAO75506	Tyrosine-protein kinase (EC 2.7.10.2)	119	123	116	75	62	63	0	14	0	53.997	62	91.784	69	15	23	23	0	12
BT_0400	fig|226186.12.peg.398	AAO75507	Tyrosine-protein kinase (EC 2.7.10.2)	234	228.173	219.094	120.444	86.523	182.869	1.086	19	43	54.003	73	72	19	33	1	24	40	38
BT_0401		AAO75508		0	0	1	4	4	0	0	0	0	9	6	6	0	0	0	0	11	1
BT_0402		AAO75509		6	20	13	16	5	0	0	0	38	6	8	10	6	0	0	0	0	0
BT_0403	fig|226186.12.peg.401	AAO75510	"DNA-binding protein, histone-like family"	10	3	4	4	0	2	30	47	10	8	7	16	51	4	0	13.053	22	30
BT_0404	fig|226186.12.peg.402	AAO75511	hypothetical protein	33	56	34	24	38	20	41	56	36	26	25	20	39	5	17	24.947	6	17
BT_0405		AAO75512		1	3	1	0	3	0	0	0	0	0	1	2	3	0	0	3	0	0
BT_0406		AAO75513		291.941	388.919	222.07	632.009	542.04	588.726	45	141.6	58	179.874	111.904	214.374	71	18	32	5	0	19
BT_0407	fig|226186.12.peg.404	AAO75514	hypothetical protein	29345.093	33843.521	27687.041	194272.215	108900.156	104004.551	47595.422	67550.313	53649.412	164246.333	76327.354	81181.116	46678.987	22859.791	16202.688	92515.822	46937.603	23169.518
BT_0408	fig|226186.12.peg.405	AAO75515	hypothetical protein	7139.098	9749.346	6457.319	9911.262	5744.782	6984.642	2086.578	4074.087	1991.588	25703.107	18791.812	18688.993	4202.013	1759.209	1522.312	15684.178	7286.397	4054.482
BT_0409	fig|226186.12.peg.406	AAO75516	Putative short-chain dehydrogenase	13948.055	14454.757	13452.659	33573.284	28422.999	37503	9159	10023	8001	48683.75	58094.129	46438.787	14488.948	4027	4149	4114	5230	6166
BT_0410	fig|226186.12.peg.407	AAO75517	hypothetical protein	22621.075	21674.742	21758.775	11413.716	9571	11260	2889	3916	2996	14060.16	16051.575	16291.904	2844.052	1257	1120	1320	1494	1406
BT_0411	fig|226186.12.peg.408	AAO75518	"3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)"	9184.678	9920.223	8203.753	13467.43	11258	13006	610	808	507	11646.948	13111.936	10919.228	3808	677	734	355	302.407	161
BT_0412	fig|226186.12.peg.409	AAO75519	"Transporter, sodium/sulfate symporter family"	14295.125	14058.339	12335.607	10798.419	10004.21	12324.688	691	587	484	8680.157	10551.403	10136.888	902	350	223	427	540.593	336
BT_0413	fig|226186.12.peg.410	AAO75520	Adenylylsulfate kinase (EC 2.7.1.25)	10650.551	11475.65	10267.651	9395.151	7145.22	8859.312	412	255	252	10666.386	10624.019	10270.313	733	321	246	304.999	356	188
BT_0414	fig|226186.12.peg.411	AAO75521	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)	10025.969	9767.988	9520.714	6742	5642.57	6514	147	230	258	7164.879	8203.778	8019.763	459	118	103	195.001	365	244
BT_0415	fig|226186.12.peg.413	AAO75522	Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4)	13687.923	14638.791	12704.603	8593.334	7387.213	9648.482	295	303	208	10484.768	12886.535	11851.354	590	191	211	161	534.222	269
BT_0416	fig|226186.12.peg.414	AAO75523	hypothetical protein	7929.362	8758.679	7329.864	3977.328	3360.787	4675.518	67	185	169	3707.516	3775.561	4107.915	329	124	134	202	242.778	90
BT_0417	fig|226186.12.peg.415	AAO75524	hypothetical protein	3482.234	3722.486	2992.303	679	817	778	111	174	165	1555.715	1688.206	1923.958	156	77	27	118	102	145
BT_0418	fig|226186.12.peg.416	AAO75525	outer membrane porin F precursor	100033.385	108095.865	99476.559	34757.999	37275.004	44240	7903	9810	9707	17530.033	21224	20178.15	7986	3499	3523	2162	7089	6829
BT_0419	fig|226186.12.peg.417	AAO75526	Putative pre-16S rRNA nuclease YqgF	16976.53	18099.646	17399.08	6296.818	4164	6578	621	785	510	6700.176	7372.555	6823.451	1885.495	518	414	788	932	859
BT_0420	fig|226186.12.peg.418	AAO75527	Peptide deformylase (EC 3.5.1.88)	6888.964	6275.483	5985.866	3014.703	2618	3549	400	479	466	4551.343	6963.557	5890.137	1722.95	493	497	373.041	917	851
BT_0421	fig|226186.12.peg.420	AAO75528	TPR-domain-containing protein	21096.909	20753.607	19073.638	15629.478	13472	16176	1036	1171	1092	18781.249	21746.529	21025.154	2657.948	784	657	1347.959	1088	1094
BT_0422	fig|226186.12.peg.421	AAO75529	Threonyl-tRNA synthetase (EC 6.1.1.3)	43294.847	48046.475	39131.617	35403.749	33316.316	41410.026	3139	3213.246	3460	29675.072	35564.917	35327.222	3827.898	1373	1284	932.655	2065	2067
BT_0423	fig|226186.12.peg.422	AAO75530	Translation initiation factor 3	15457.441	18353.8	14074.592	4742.872	4682.684	5975	2171	2335.754	2154	2368.523	2690.963	3413.385	1230.708	357	367	597.345	1023	664
BT_0424	fig|226186.12.peg.423	AAO75531	LSU ribosomal protein L35p	35050.998	35383.349	28874.66	6728.849	5147.931	3791	840	1293	1421.766	4927.438	2963.665	3833.587	628.059	136	98	3655.865	1381.472	198
BT_0425	fig|226186.12.peg.424	AAO75532	LSU ribosomal protein L20p	16420.639	16790.848	17802.972	2044.151	1577.069	1977	360	726	833.234	1978.571	1658.322	2454.413	265.941	108	108	396.135	321.528	210
BT_0426	fig|226186.12.peg.425	AAO75533	Ferredoxin	9044	10540.88	9262	1746	1598	1234	60	101	131	7395	5637.605	5759.117	859	277	148	588	632	288
BT_0427	fig|226186.12.peg.426	AAO75534	Xanthine phosphoribosyltransferase (EC 2.4.2.22)	1388	1656.088	1275	133	107	122	35	92	51	182	185	201	8	7	17	25	13	9
BT_0428	fig|226186.12.peg.427	AAO75535	Coenzyme A ligase	17150.3	21429.309	16081.911	7867.614	5239	6850	368	430	397	17504.365	14059.606	13193	79	78	25	83	176	131
BT_0429	fig|226186.12.peg.428	AAO75536	Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8)	2066.096	2011.806	1819.363	678.609	660	822	105	191	163	363.35	439.497	580.449	15	0	50	18	16	64
BT_0430	fig|226186.12.peg.429	AAO75537	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	20283.848	21789.321	19929.438	7080.157	5974	6291	203	320	239	5823.721	6322.662	6549.585	537	125	134	52	175	114
BT_0431	fig|226186.12.peg.430	AAO75538	Murein endolytic transglycosylase MltG	1875.064	2013.484	1661.088	929	776	679	35	32	21	517.449	515	554.966	31	10	0	14	15	0
BT_0432	fig|226186.12.peg.431	AAO75539	Endonuclease	258.045	359.496	301	106	84	61	0	5	22	106	97	74	63	15	0	11	0	0
BT_0433	fig|226186.12.peg.432	AAO75540	ROK family sugar kinase or transcriptional regulator	7757.955	10321	9621.992	4423	3144	2785	556	623	522	7099	5728	5753	1842	430	520	420	825	981
BT_0434	fig|226186.12.peg.433	AAO75541	NTP pyrophosphohydrolases including oxidative damage repair enzymes	705.998	711	879.432	7	15	18	83	42	79	49	113	86	1007	367	406	128	196	177
BT_0435	fig|226186.12.peg.434	AAO75542	hypothetical protein	321.55	282.739	266.568	42	48	40	13	42	35	32	30	43	397	77	56	111	109	114
BT_0436	fig|226186.12.peg.435	AAO75543	Uncharacterized sugar:proton symporter	365.192	405.276	343.628	104	117.203	128.981	85	72	48	151.767	164	145.132	186	143	92	28	42	22
BT_0437	fig|226186.12.peg.436	AAO75544	N-acylglucosamine 2-epimerase (EC 5.1.3.8)	53.276	53	70.131	1	21	11	0	6	0	18	35	38	23	10	0	5	11	0
BT_0438	fig|226186.12.peg.437	AAO75545	Alpha-N-acetylglucosaminidase (EC 3.2.1.50)	103	127	94	17	9	12	0	17	0	22	5	20	29	13	20	3	22	0
BT_0439	fig|226186.12.peg.438	AAO75546	"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family"	217	300.497	251	147.999	113	137	82	67	54	206	239	188	135	59	81	74	120	101
BT_0440	fig|226186.12.peg.439	AAO75547	"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family"	73	75.78	56	13.001	18.445	31	0	22	0	24	28	37	32	0	19	0	43	0
BT_0441	fig|226186.12.peg.440	AAO75548	hypothetical protein	69.961	90.001	68	53	69.555	40	0	4	0	60.582	71.624	60.737	19	0	0	0	0	13
BT_0442	fig|226186.12.peg.441	AAO75549	DUF4855) domain / Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	104.039	115.723	101	104	80	68	0	16	43	73.418	65.376	79.263	4	4	0	26	17	12
BT_0443	fig|226186.12.peg.443	AAO75550	beta-glucosidase (EC 3.2.1.21)	4	7	1	0	1	12	0	0	0	8	0	1	0	0	0	0	0	0
BT_0444	fig|226186.12.peg.444	AAO75551	hypothetical protein	190.985	254.62	190	109	115.255	97	17	2	39	76.185	106.143	99.353	17.071	0	0	43.145	37	8
BT_0445	fig|226186.12.peg.445	AAO75552	endoglucanase E precursor (EGE)	843.015	1016.38	727	867	861.745	701	203	349	283	1009.82	674.857	697.647	322.929	59	103	159.855	474	165
BT_0446	fig|226186.12.peg.446	AAO75553	hypothetical protein	48	32.667	40.001	37	23	71	0	1	0	53	57	36	0	0	0	18	0	0
BT_0447	fig|226186.12.peg.447	AAO75554	"S-layer related protein precursor, sialic acid-specific 9-O-acetylesterase"	129	120.333	131.999	95	69	95	7	30	0	80	99	55	12	23	0	15	0	42
BT_0448	fig|226186.12.peg.448	AAO75555	hypothetical protein	104	88	61.997	17	19	27	0	13	10	43	26	33	0	7	0	21	16	0
BT_0449	fig|226186.12.peg.449	AAO75556	"S-layer related protein precursor, sialic acid-specific 9-O-acetylesterase"	132	128	140.003	56	63	54	23	17	17	103	144	106	29	0	21	13	20	52
BT_0450	fig|226186.12.peg.450	AAO75557	hypothetical protein	200	174.933	165	66	44	63	2	25	32	38	51	54	62	27	16	40	12	0
BT_0451	fig|226186.12.peg.451	AAO75558	"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family"	201	209.067	168.292	57	26	45	0	18	0	66	79	80.464	73	12	18	42	21	18
BT_0452	fig|226186.12.peg.452	AAO75559	"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family"	390	330.127	332.736	325	228	251	123	111	88	431	477	363.536	456	126	132	591	747	436
BT_0453	fig|226186.12.peg.453	AAO75560	N-acylglucosamine 2-epimerase (EC 5.1.3.8)	261	237	239	37	43	79	0	8	8	73	112	90	33	0	0	9	78	35
BT_0454	fig|226186.12.peg.454	AAO75561	Uncharacterized sugar:proton symporter	49.984	48.985	25.241	26	14.797	50.019	11	0	50	7.233	17	12.868	0	32	0	4	8	0
BT_0455	fig|226186.12.peg.455	AAO75562	Sialidase (EC 3.2.1.18)	26581.639	30515.675	27657.312	9034.503	6114.849	7694	942	1253	801	21389.568	13230.606	12816.759	1838.563	1034	622	1709	2458.425	552
BT_0456	fig|226186.12.peg.456	AAO75563	beta-glycosyl hydrolase	5347.631	5606.999	5318.414	665.497	683.151	828	70	56	100	1042.245	1172.366	1138.076	159.068	87	55	101	151.575	111
BT_0457	fig|226186.12.peg.457	AAO75564	Sialic acid-specific 9-O-acetylesterase	3181.772	3307.554	2916.455	367	322	392	68	56	13	717.934	717.22	639.171	133.369	19	31	52	151	142
BT_0458	fig|226186.12.peg.458	AAO75565	Beta-mannosidase (EC 3.2.1.25)	20299.988	22409.638	20740.314	12258	10494	11267	834	1417	1057	11451.002	11185.136	10654.003	3665	1179	1263	796	3365	2182
BT_0459	fig|226186.12.peg.459	AAO75566	beta-glycosyl hydrolase	1612.242	1880.669	1591.998	330	222	417	208	167	201	364	392	405	115	115	109	240	136	139
BT_0460	fig|226186.12.peg.460	AAO75567	beta-glycosyl hydrolase	1211	1145.661	1133.989	204	203	210	34	15	3	290.409	307.776	318.845	21	29	11	44	92	12
BT_0461	fig|226186.12.peg.461	AAO75568	beta-galactosidase	1096	1182	1012.185	190	150	192	24	58	25	378	374.224	351.155	109	28	36	47	58	46
BT_0462	fig|226186.12.peg.462	AAO75569	"Capsular polysaccharide transcription antitermination protein, UpxY family"	6336.968	6848.961	6524.84	1104	706	907.112	56	83	24	944	670	946	81	15	25	117	47	34
BT_0463	fig|226186.12.peg.463	AAO75570	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	707.033	828.039	951.16	233	230	238.888	41	31	37	454	446	542	81	0	20	64	4	16
BT_0464	fig|226186.12.peg.464	AAO75571	"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)"	111.888	170.612	148	41	63	55	0	5	0	40.673	21.507	60.488	49	24	47	60	0	13
BT_0465	fig|226186.12.peg.465	AAO75572	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	70.112	119.388	108	30	48.56	22	14	34	26	44.325	70.493	93.172	154.02	0	17	116	11	0
BT_0466	fig|226186.12.peg.466	AAO75573	"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"	74	77	70	47	39.44	23	0	12	0	17.001	17	24.34	43.98	0	0	41	22	0
BT_0467	fig|226186.12.peg.467	AAO75574	putative flippase	116	101	110	27	38	21	9	30	37	27.808	20	28	83	10	39	62.814	3	12
BT_0468	fig|226186.12.peg.468	AAO75575	"Related to F420H2-dehydrogenase, beta subunit"	54	58	83	23	48	31	9	34	13	19.905	24	20.697	24	0	0	6.186	19.102	0
BT_0469	fig|226186.12.peg.469	AAO75576	hypothetical protein	43	71	75	17	10	12	8	1	11	14.288	15	11.303	55	14	27	70	27.898	0
BT_0470	fig|226186.12.peg.470	AAO75577	hypothetical protein	76	74	85	22	36	30	21	10	0	19	18	18	87	0	28	113	10	14
BT_0471	fig|226186.12.peg.471	AAO75578	Glycosyltransferase	57	105	72	23	21.885	44	0	48	27	24	26	39.524	58.427	0	39	105	15	19
BT_0472	fig|226186.12.peg.472	AAO75579	hypothetical protein	55	51	48	11	21.115	2	0	0	50	16	40	41.476	67.573	0	0	22	5	0
BT_0473	fig|226186.12.peg.473	AAO75580	Putative glycosyltransferase	57	62.996	54.016	20	12	10	13	3	0	19	23	36	107	18	0	26	20	6
BT_0474	fig|226186.12.peg.474	AAO75581	D-glycero-alpha-D-manno-heptose 7-phosphate kinase (EC 2.7.1.168)	47	68.004	33	22	17	30	0	19	0	63	76	67	76	19	0	49	0	27
BT_0475	fig|226186.12.peg.475	AAO75582	D-sedoheptulose 7-phosphate isomerase (EC 5.3.1.28)	20	16	26	33	19	32	0	11	0	46	54	59	54	0	21	16	21	26
BT_0476	fig|226186.12.peg.476	AAO75583	D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase (EC 2.7.7.71)	170	193.618	235	403	285.98	290	127	40	115	246	368.96	318	328.843	36	91	196	37	68
BT_0477	fig|226186.12.peg.477	AAO75584	"D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.83)"	6	17.475	11.998	2	1.02	3	0	2	0	7.629	4.04	8.156	4.157	0	0	12.786	30	0
BT_0478	fig|226186.12.peg.478	AAO75585	Glycosyltransferase	88	119.907	59.002	64	35	36	9	2	69	128.371	75	73.844	151	47	30	233.214	0	24
BT_0479	fig|226186.12.peg.479	AAO75586	Putative glycosyltransferase	34	108	59	7.523	8.998	6	4	2	9	7	0	5	14	5	0	29	0	0
BT_0480	fig|226186.12.peg.480	AAO75587	Glycosyltransferase	47	45	23	33.477	19.002	2	0	26	0	5	16	20.107	18	0	3	21	34	0
BT_0481	fig|226186.12.peg.481	AAO75588	Polysaccharide export outer membrane protein	39	34	48.144	22.987	11	13	29	8	0	20	40.334	18.381	17	0	0	18	0	0
BT_0482	fig|226186.12.peg.482	AAO75589	Tyrosine-protein kinase (EC 2.7.10.2)	188	221.818	170.856	217.013	133	144	18	31	6	238.111	209.666	157.512	56	29	32	118	24	16
BT_0483	fig|226186.12.peg.483	AAO75590	"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family"	4906.003	7815.415	4348.527	2353	1713	2672	51	99	190	1683	1824	1937	96	93	35	71	69	3
BT_0484	fig|226186.12.peg.484	AAO75591	"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family"	874	1006.054	713.473	904	745	907	38	65	33	732	847	750	146	27	25	37	75	111
BT_0485	fig|226186.12.peg.485	AAO75592	Transposase	3053.657	3421.607	3032.792	484.695	571.716	370.293	112	267	106.18	972	757	769	337.914	73.687	71	143.641	127.702	145.537
BT_0486	fig|226186.12.peg.486	AAO75593	Altronate dehydratase (EC 4.2.1.7)	8033.367	9361.724	7843.987	8342	6183.452	9261	1009	1013	1315	5130.8	6061.823	7116.141	343	130	249	235	435	479
BT_0487	fig|226186.12.peg.487	AAO75594	"Transcriptional regulator, LacI/PurR family"	3251.635	3571.383	2843.019	3208	3014.51	2201	39	154	185	1148.2	1085.177	1466	652	497	176	15	279	241
BT_0488	fig|226186.12.peg.488	AAO75595	2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	15306.446	17817.64	13704.754	10356.853	11207.683	10498.444	470	574	460	6115.069	10227.724	10015.42	1856	1063	579	187	673	781
BT_0489	fig|226186.12.peg.489	AAO75596	4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) @ 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	10567.154	11767.703	11779.291	6441.147	6075.816	7561	544	601	638	2868.997	3665.276	3655.58	311	118	169	184	236	150
BT_0490	fig|226186.12.peg.490	AAO75597	hypothetical protein	1058	1263	863	230	156	151	0	53	28	464	182	374	12	0	0	159	30	42
BT_0491	fig|226186.12.peg.491	AAO75598	"Protein DUF2149, predicted transporter component"	347.965	423.05	348.539	138.273	200.058	125	16	42	28	164	164.108	139.782	52	8	10	9	42	51
BT_0492	fig|226186.12.peg.492	AAO75599	hypothetical transporter PduT for various metalloporphyrins	1353.397	1918.079	1270.444	737.727	549.942	744	32	0	0	269.12	237.95	187.288	13	7	0	0	5	14
BT_0493	fig|226186.12.peg.493	AAO75600	"Protein BF2544, predicted transporter component"	15248.892	23067.433	17976.666	6253	4515.844	6516.058	102	64	96	7051.88	4978.149	4007.004	20	41	1	9	99	0
BT_0494	fig|226186.12.peg.494	AAO75601	CobN-like chelatase BtuS for metalloporphyrine salvage	8750.396	8775.364	8903.152	7065	5215.156	6621	30	53	55	2987.004	3054.991	2959.726	64	42	63	24	129	65
BT_0495	fig|226186.12.peg.495	AAO75602	CobN-like chelatase BtuS for metalloporphyrine salvage	6377.203	7354.37	6406.981	5685.445	4930.089	6500	65	106	51	3055.374	2887	3264.69	42	85	1	0	92	0
BT_0496	fig|226186.12.peg.496	AAO75603	TonB-Dependent Hemoglobin Receptor HmuR	3661.732	3867.416	3793.75	2657.682	2330.911	2539	102	117	94	1152.67	1294	1700.822	69	58	9	9	98	105
BT_0497	fig|226186.12.peg.497	AAO75604	"Hemophore HmuY, recruits heme from host protein carriers"	18436.514	23315.122	16276.952	9094.363	4836	5630.002	30	91	57	6084.331	4732.173	4885.526	63	47	0	16	41	19
BT_0498	fig|226186.12.peg.498	AAO75605	Calycin-like beta-barrel domain protein	12686.234	15923.106	12772.563	10949.51	9353	10127.998	476	711	702	2711.16	2731.827	3102.319	511	259	220	26	750	409
BT_0499	fig|226186.12.peg.500	AAO75606	Cobalt/zinc/cadmium resistance protein CzcD	2773.271	4289.196	2546	2897	2426	3048	6	27	0	3353.008	4149.736	4224.757	30	8	76	11	81	0
BT_0500	fig|226186.12.peg.501	AAO75607	Predicted cobalt transporter in Bacteroides_Porphyromonas	10310.479	11932.149	9437.444	772.069	743.179	843	6	12	0	1181.729	1299.192	1279.544	18	0	0	45	2	46
BT_0501	fig|226186.12.peg.502	AAO75608	hypothetical protein	9164.513	11171.998	8483.179	1609.931	1261.821	1501	0	57	27	1659.13	1085.718	1320.892	20	4	0	30	53	11
BT_0502	fig|226186.12.peg.503	AAO75609	TonB-dependent receptor; Outer membrane receptor for ferrienterochelin and colicins	7637.509	9803.844	7588.223	1906.001	1930	1835	192	486	311	3667.141	3547.354	3680.885	962	340	341	156	413	482
BT_0503	fig|226186.12.peg.504	AAO75610	hypothetical protein	1182.391	1559.95	1197.711	669	674.16	844	33	68	16	355.483	286	277.273	9	0	0	60	0	0
BT_0504	fig|226186.12.peg.505	AAO75611	TonB-dependent receptor; Outer membrane receptor for ferrienterochelin and colicins	2987.261	3994.05	3088.507	5278	6551.84	5941	238	466	384	7154.654	7227	6766.727	308	114	90	233	374	308
BT_0505	fig|226186.12.peg.506	AAO75612	hypothetical protein	254	351	261	46	28	40	5	18	20	47	33	48	9	0	0	26	0	0
BT_0506	fig|226186.12.peg.507	AAO75613	beta-glycosyl hydrolase	17503.608	19427.064	14680.856	606	467	509	143	243	214	2445	2689	2533	925	562	481	339	1056	768
BT_0507	fig|226186.12.peg.508	AAO75614	"Transcriptional regulator, AcrR family"	2076.557	2175.89	2587.251	1898	1346	1551	119	144	193	361	232.399	375.83	75	43	13	67	69	43
BT_0508	fig|226186.12.peg.509	AAO75615	"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1"	1112.61	1213.662	999.231	1391	1756.793	1477	18	19	53	712.026	742.199	665.178	54	23	24	11	73	82
BT_0509	fig|226186.12.peg.510	AAO75616	"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2"	3226.39	3641.405	3776.742	4018	3683.207	3510	113	71	150	3119.989	3255.402	2317.992	521	176	87	34	317	167
BT_0510	fig|226186.12.peg.511	AAO75617	putative heme biosynthesis protein	1010	1243.084	1015.258	513	404	436	557	329	625	310	349	395.938	515	262	271	320.023	159	241
BT_0511	fig|226186.12.peg.512	AAO75618	hypothetical protein	4023	4650.945	3580.742	1707	1179	873	315	462	384	744	574	755.062	448	201	98	1438.977	361	225
BT_0512	fig|226186.12.peg.513	AAO75619	hypothetical protein	432.718	535	431.054	46	11	28	45	8	0	112	101	161	93	61	27	115	38	45
BT_0513		AAO75620		92.282	141.239	71.002	29	25	36	5	16.001	13	27	38.128	69.754	120	31	14	283.067	79.945	27
BT_0514	fig|226186.12.peg.514	AAO75621	hypothetical protein	651	848.761	966.492	315	242	145	57	82.999	83	396	310.872	491.246	674	291	169	1244.933	318.055	204
BT_0515	fig|226186.12.peg.515	AAO75622	"Terminal quinol oxidase, subunit, putative (doxD-like)"	4514.036	6896.215	3959.057	3248	2394.042	3442	17	26	0	1563	1371	1668	7	0	15	22	0	31
BT_0516	fig|226186.12.peg.516	AAO75623	hypothetical protein	26604.992	29489.956	32455.875	38910.776	26145.65	34671	541	648	369	39276.404	26973.8	26675.557	464	268	111	87	1837.884	805
BT_0517	fig|226186.12.peg.517	AAO75624	Flavodoxin 1	2255.369	2451.82	2151.38	1874.179	2153.308	2244	15	165	33	827.117	875.2	1027.652	188	32	102	0	33.116	80
BT_0518	fig|226186.12.peg.518	AAO75625	Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	4737.999	5855.598	4445.189	1043	1082	951	195	296	119	462	481	611.001	63	80	47	13	82	26
BT_0519	fig|226186.12.peg.519	AAO75626	Repair of Iron Centers di-iron protein	8493.683	11390.886	10309.781	13095.248	9363.582	15507.022	1380	960	957	9551.675	12908.389	11349.31	3085.738	756	938	182.545	1995.623	1860
BT_0520	fig|226186.12.peg.520	AAO75627	Transcriptional regulator	8246.754	9224.162	7883.015	4289.752	4245.418	4500.978	262	332	288	6933.681	8509.592	6345.69	1246.262	433	274	80.455	1005.377	630
BT_0521	fig|226186.12.peg.521	AAO75628	putative acetyl transferase	496.051	476.541	462.003	38.707	25	45	8	34	32	218.8	236	220.098	205	0	23	77	151	45
BT_0522	fig|226186.12.peg.522	AAO75629	hypothetical protein	323.026	376.406	317.201	95.293	43	85	20	70	114	159.2	100	150.902	116.445	38	32	71	75	24
BT_0523	fig|226186.12.peg.523	AAO75630	Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)	1909.491	2380.447	2012.619	562	425.568	426	100	200	341	509.152	438.829	503.551	765.335	225.014	294	411	416.586	158
BT_0524	fig|226186.12.peg.524	AAO75631	"Two-component transcriptional response regulator, LuxR family"	5253.356	7243.662	5566.531	1358	987.432	880	79	88	109	501.848	449.806	478.449	1443.22	570.986	308	680	408.414	397
BT_0525	fig|226186.12.peg.525	AAO75632	hypothetical protein	31653.571	45040.413	33195.868	4437	3118	2725	48	69	118	3123	2408	3097	276	118	71	803	180	114
BT_0526	fig|226186.12.peg.526	AAO75633	"L-asparaginase I, cytoplasmic (EC 3.5.1.1)"	2195.544	2564	1915	189	151	171	23	56	14	171	154	190	142	24	47	49	283	204
BT_0527	fig|226186.12.peg.527	AAO75634	Tryptophan synthase alpha chain (EC 4.2.1.20)	396	529.818	379	489	362	423	32	117	37	173	192	246	14	7	1	5	29	0
BT_0528	fig|226186.12.peg.528	AAO75635	Phosphoribosylanthranilate isomerase (EC 5.3.1.24)	260.414	291.739	190.264	129	163	208	43	43	51	72	43.557	82.451	5	1	0	5	21	11
